Internal Memory,RAM,Processor,Rear Camera,Front Camera,No of Cameras,Battery,Screen Type,Brand,Price
128,8,765g,64,16,3,5000,lcd,iqoo,22000
128,6,Mediatek 6765,12,8,3,4230,lcd,oppo,12990
128,6,Exynos 850,48,8,4,6000,lcd ,samsung,13499
64,4,Mediatek Helio G35,13,5,2,5000,lcd,redmi,8999
128,4,Mediatek Helio G85,50,8,3,6000,lcd,realme,12499
128,6,QS 480,48,8,3,5000,lcd,oppo,17990
128,6,Mediatek Helio G95,48,16,3,5000,lcd,realme,15499
64,6,Mediatek Helio G35,48,16,4,6000,lcd,techno,8999
64,4,Mediatek Helio G35,8,5,1,5000,lcd,realme,8799
128,6,Mediatek Helio G95,64,13,3,5000,amoled,redmi,16499
